symbol,series,date1,prev_close,open,high,low,last_price,close,average_pr,tottrades,turnover,numtrades,delivery,volume,action,avgaction,avgdel,date,lottery
"INFY"," EQ"," 19-May-2021"," 1340.00"," 1342.00"," 1357.45"," 1333.25"," 1334.65"," 1337.00"," 1344.41"," 4435878"," 59636.18"," 135009"," 2099266"," 47.32",33,41,53.12,05/19/2021,F
"INFY"," EQ"," 18-May-2021"," 1329.40"," 1338.00"," 1344.60"," 1329.50"," 1338.75"," 1340.00"," 1338.06"," 5620150"," 75200.81"," 135851"," 3553759"," 63.23",41,41,53.09,05/18/2021,F
"INFY"," EQ"," 17-May-2021"," 1316.40"," 1320.30"," 1334.95"," 1320.30"," 1328.55"," 1329.40"," 1329.34"," 5017129"," 66694.59"," 118670"," 2842931"," 56.66",42,41,53.01,05/17/2021,T
"INFY"," EQ"," 14-May-2021"," 1327.00"," 1326.85"," 1326.85"," 1311.30"," 1320.00"," 1316.40"," 1316.25"," 4824609"," 63503.87"," 180008"," 2680794"," 55.57",27,40,52.85,05/14/2021,F
"INFY"," EQ"," 12-May-2021"," 1330.65"," 1330.00"," 1330.00"," 1314.50"," 1327.60"," 1327.00"," 1323.46"," 5241898"," 69374.27"," 143805"," 2933912"," 55.97",36,40,52.34,05/12/2021,F
"INFY"," EQ"," 11-May-2021"," 1339.55"," 1336.90"," 1341.00"," 1325.10"," 1332.05"," 1330.65"," 1330.00"," 6420988"," 85399.45"," 201614"," 4122605"," 64.21",32,40,52.17,05/11/2021,F
"INFY"," EQ"," 10-May-2021"," 1352.55"," 1349.85"," 1352.90"," 1335.05"," 1339.90"," 1339.55"," 1341.13"," 7195348"," 96498.94"," 160151"," 4685834"," 65.12",45,41,51.74,05/10/2021,T
"INFY"," EQ"," 07-May-2021"," 1361.60"," 1365.30"," 1373.05"," 1348.50"," 1352.70"," 1352.55"," 1357.23"," 4991435"," 67745.40"," 146974"," 2716830"," 54.43",34,41,51.41,05/07/2021,F
"INFY"," EQ"," 06-May-2021"," 1341.50"," 1345.00"," 1364.70"," 1337.40"," 1359.15"," 1361.60"," 1354.33"," 4810090"," 65144.32"," 128184"," 2458467"," 51.11",38,40,51.35,05/06/2021,F
"INFY"," EQ"," 05-May-2021"," 1329.40"," 1341.10"," 1343.90"," 1327.80"," 1343.00"," 1341.50"," 1337.33"," 3939788"," 52687.94"," 113183"," 2118097"," 53.76",35,40,51.36,05/05/2021,F
"INFY"," EQ"," 04-May-2021"," 1352.05"," 1354.00"," 1354.95"," 1324.10"," 1331.00"," 1329.40"," 1339.98"," 4887060"," 65485.65"," 158010"," 2857619"," 58.47",31,41,51.35,05/04/2021,F
"INFY"," EQ"," 03-May-2021"," 1354.35"," 1340.80"," 1361.00"," 1338.00"," 1349.00"," 1352.05"," 1350.88"," 4560337"," 61604.49"," 126788"," 2748838"," 60.28",36,41,51.19,05/03/2021,F
